Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
Tuesday 6 April 2010,Champions League,FC Barcelona,Arsenal,Arsenal,37,2,1,,Right foot,Won
Sunday 23 August 2009,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,50,1,0,,Right foot,Won
Wednesday 27 May 2009,Champions League,FC Barcelona,Manchester United,Manchester United,70,2,0,,Head,Won
Wednesday 8 April 2009,Champions League,FC Barcelona,Bayern München,Bayern München,38,3,0,,Right foot,Won
Wednesday 18 April 2007,,FC Barcelona,Getafe,Getafe,29,2,0,Solo run,Right foot,Won
Wednesday 1 February 2006,,FC Barcelona,Real Zaragoza,Real Zaragoza,42,1,0,Field goal,Head,Won
Wednesday 30 January 2019,,FC Barcelona,Sevilla,Sevilla,90+2,6,1,Field goal,Left foot,Won
Thursday 17 January 2019,,FC Barcelona,Levante,Levante,54,3,0,Field goal,Left foot,Won
Tuesday 18 September 2018,Champions League,FC Barcelona,PSV Eindhoven,PSV Eindhoven,77,3,0,Field goal,Left foot,Won
Tuesday 18 September 2018,Champions League,FC Barcelona,PSV Eindhoven,PSV Eindhoven,32,1,0,Free kick,Left foot,Won
Wednesday 14 March 2018,Champions League,FC Barcelona,Chelsea,Chelsea,63,3,0,Field goal,Left foot,Won
Thursday 25 January 2018,,FC Barcelona,Espanyol,Espanyol,25,2,0,Field goal,Left foot,Won
Thursday 11 January 2018,,FC Barcelona,Celta de Vigo,Celta de Vigo,15,2,0,Field goal,Left foot,Won
Thursday 11 January 2018,,FC Barcelona,Celta de Vigo,Celta de Vigo,13,1,0,Field goal,Left foot,Won
Wednesday 18 October 2017,Champions League,FC Barcelona,Olympiacos,Olympiacos,61,2,0,Free kick,Left foot,Won
Tuesday 12 September 2017,Champions League,FC Barcelona,Juventus,Juventus,69,3,0,Field goal,Left foot,Won
Tuesday 12 September 2017,Champions League,FC Barcelona,Juventus,Juventus,45,1,0,Field goal,Left foot,Won
Sunday 13 August 2017,,FC Barcelona,Real Madrid,Real Madrid,76,1,1,Penalty,Left foot,Lost
Saturday 27 May 2017,,FC Barcelona,Alavés,Alavés,30,1,0,Field goal,Left foot,Won
Wednesday 8 March 2017,Champions League,FC Barcelona,Paris Saint-Germain,Paris Saint-Germain,50,3,0,Penalty,Left foot,Won
Thursday 26 January 2017,,FC Barcelona,Real Sociedad,Real Sociedad,55,2,0,Penalty,Left foot,Won
Wednesday 11 January 2017,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,78,3,1,Free kick,Left foot,Won
Tuesday 6 December 2016,Champions League,FC Barcelona,Borussia Mönchengladbach,Borussia Mönchengladbach,16,1,0,Field goal,Left foot,Won
Wednesday 19 October 2016,Champions League,FC Barcelona,Manchester City,Manchester City,69,3,0,Field goal,Left foot,Won
Wednesday 19 October 2016,Champions League,FC Barcelona,Manchester City,Manchester City,61,2,0,Field goal,Left foot,Won
Wednesday 19 October 2016,Champions League,FC Barcelona,Manchester City,Manchester City,17,1,0,Field goal,Left foot,Won
Tuesday 13 September 2016,Champions League,FC Barcelona,Celtic,Celtic,60,5,0,Field goal,Left foot,Won
Tuesday 13 September 2016,Champions League,FC Barcelona,Celtic,Celtic,27,2,0,Field goal,Left foot,Won
Tuesday 13 September 2016,Champions League,FC Barcelona,Celtic,Celtic,3,1,0,Field goal,Left foot,Won
Wednesday 16 March 2016,Champions League,FC Barcelona,Arsenal,Arsenal,88,3,1,Field goal,Left foot,Won
Wednesday 3 February 2016,,FC Barcelona,Valencia,Valencia,74,5,0,Field goal,Left foot,Won
Wednesday 3 February 2016,,FC Barcelona,Valencia,Valencia,58,4,0,Field goal,Left foot,Won
Wednesday 3 February 2016,,FC Barcelona,Valencia,Valencia,29,3,0,Field goal,Left foot,Won
Wednesday 6 January 2016,,FC Barcelona,Espanyol,Espanyol,44,2,1,Free kick,Left foot,Won
Wednesday 6 January 2016,,FC Barcelona,Espanyol,Espanyol,13,1,1,Field goal,Left foot,Won
Tuesday 24 November 2015,Champions League,FC Barcelona,AS Roma,AS Roma,59,5,0,Rebound,Left foot,Won
Tuesday 24 November 2015,Champions League,FC Barcelona,AS Roma,AS Roma,18,2,0,Field goal,Left foot,Won
Monday 17 August 2015,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,43,1,0,Field goal,Left foot,Draw
Tuesday 11 August 2015,,FC Barcelona,Sevilla,Sevilla,15,2,1,Free kick,Left foot,Won
Tuesday 11 August 2015,,FC Barcelona,Sevilla,Sevilla,7,1,1,Free kick,Left foot,Won
Wednesday 6 May 2015,Champions League,FC Barcelona,Bayern München,Bayern München,77,1,0,,Left foot,Won
Wednesday 11 February 2015,,FC Barcelona,Villarreal,Villarreal,41,1,0,,Left foot,Won
Wednesday 21 January 2015,,FC Barcelona,Atlético Madrid,Atlético Madrid,85,1,0,Rebound,Left foot,Won
Thursday 8 January 2015,,FC Barcelona,Elche,Elche,45,3,0,Penalty,Left foot,Won
Tuesday 21 October 2014,Champions League,FC Barcelona,Ajax,Ajax,24,2,0,,Left foot,Won
Wednesday 12 March 2014,Champions League,FC Barcelona,Manchester City,Manchester City,67,1,0,,Left foot,Won
Wednesday 8 January 2014,,FC Barcelona,Getafe,Getafe,90+3,4,0,,Left foot,Won
Wednesday 8 January 2014,,FC Barcelona,Getafe,Getafe,90,3,0,,Left foot,Won
Wednesday 6 November 2013,Champions League,FC Barcelona,AC Milan,AC Milan,83,3,1,,Left foot,Won
Wednesday 6 November 2013,Champions League,FC Barcelona,AC Milan,AC Milan,30,1,0,Penalty,Left foot,Won
Wednesday 18 September 2013,Champions League,FC Barcelona,Ajax,Ajax,75,4,0,,Left foot,Won
Wednesday 18 September 2013,Champions League,FC Barcelona,Ajax,Ajax,55,2,0,,Left foot,Won
Wednesday 18 September 2013,Champions League,FC Barcelona,Ajax,Ajax,22,1,0,Free kick,Left foot,Won
Tuesday 12 March 2013,Champions League,FC Barcelona,AC Milan,AC Milan,39,2,0,,Left foot,Won
Tuesday 12 March 2013,Champions League,FC Barcelona,AC Milan,AC Milan,5,1,0,,Left foot,Won
Wednesday 16 January 2013,,FC Barcelona,Málaga,Málaga,29,1,1,,Left foot,Draw
Wednesday 19 September 2012,Champions League,FC Barcelona,Spartak Moscow,Spartak Moscow,71,2,2,,Left foot,Won
Thursday 23 August 2012,,FC Barcelona,Real Madrid,Real Madrid,70,2,1,Penalty,Left foot,Won
Tuesday 3 April 2012,Champions League,FC Barcelona,AC Milan,AC Milan,41,2,1,Penalty,Left foot,Won
Tuesday 3 April 2012,Champions League,FC Barcelona,AC Milan,AC Milan,11,1,0,Penalty,Left foot,Won
Wednesday 7 March 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,84,7,0,,Left foot,Won
Wednesday 7 March 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,58,5,0,Rebound,Left foot,Won
Wednesday 7 March 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,42,2,0,,Left foot,Won
Wednesday 7 March 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,25,1,0,,Left foot,Won
Wednesday 4 January 2012,,FC Barcelona,Osasuna,Osasuna,90+2,4,0,,Left foot,Won
Friday 26 August 2011,,FC Barcelona,FC Porto,FC Porto,39,1,0,,Left foot,Won
Wednesday 17 August 2011,,FC Barcelona,Real Madrid,Real Madrid,87,3,2,Field goal,Left foot,Won
Saturday 28 May 2011,Champions League,FC Barcelona,Manchester United,Manchester United,54,2,1,,Left foot,Won
Tuesday 8 March 2011,Champions League,FC Barcelona,Arsenal,Arsenal,71,3,1,Penalty,Left foot,Won
Tuesday 8 March 2011,Champions League,FC Barcelona,Arsenal,Arsenal,45+3,1,0,Field goal,Left foot,Won
Wednesday 26 January 2011,,FC Barcelona,UD Almería,UD Almería,16,3,0,,Left foot,Won
Wednesday 26 January 2011,,FC Barcelona,UD Almería,UD Almería,9,1,0,,Left foot,Won
Wednesday 12 January 2011,,FC Barcelona,Real Betis,Real Betis,73,3,0,,Left foot,Won
Wednesday 12 January 2011,,FC Barcelona,Real Betis,Real Betis,62,2,0,Rebound,Left foot,Won
Wednesday 12 January 2011,,FC Barcelona,Real Betis,Real Betis,44,1,0,,Left foot,Won
Wednesday 10 November 2010,,FC Barcelona,AD Ceuta,AD Ceuta,68,5,1,,Left foot,Won
Wednesday 20 October 2010,Champions League,FC Barcelona,FC Copenhagen,FC Copenhagen,90+2,2,0,,Left foot,Won
Wednesday 20 October 2010,Champions League,FC Barcelona,FC Copenhagen,FC Copenhagen,19,1,0,,Left foot,Won
Tuesday 14 September 2010,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,45,3,1,,Left foot,Won
Tuesday 14 September 2010,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,22,1,1,,Left foot,Won
Saturday 21 August 2010,,FC Barcelona,Sevilla,Sevilla,90,4,0,,Left foot,Won
Saturday 21 August 2010,,FC Barcelona,Sevilla,Sevilla,24,2,0,,Left foot,Won
Tuesday 6 April 2010,Champions League,FC Barcelona,Arsenal,Arsenal,88,4,1,Rebound,Left foot,Won
Tuesday 6 April 2010,Champions League,FC Barcelona,Arsenal,Arsenal,42,3,1,,Left foot,Won
Tuesday 6 April 2010,Champions League,FC Barcelona,Arsenal,Arsenal,21,1,1,,Left foot,Won
Wednesday 17 March 2010,Champions League,FC Barcelona,VfB Stuttgart,VfB Stuttgart,60,3,0,,Left foot,Won
Wednesday 17 March 2010,Champions League,FC Barcelona,VfB Stuttgart,VfB Stuttgart,13,1,0,Solo run,Left foot,Won
Tuesday 10 November 2009,,FC Barcelona,Cultural Leonesa,Cultural Leonesa,64,4,0,,Left foot,Won
Tuesday 29 September 2009,Champions League,FC Barcelona,Dynamo Kyiv,Dynamo Kyiv,26,1,0,,Left foot,Won
Sunday 23 August 2009,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,68,2,0,Penalty,Left foot,Won
Wednesday 8 April 2009,Champions League,FC Barcelona,Bayern München,Bayern München,9,1,0,,Left foot,Won
Wednesday 11 March 2009,Champions League,FC Barcelona,Olympique Lyon,Olympique Lyon,40,3,0,,Left foot,Won
Wednesday 12 November 2008,,FC Barcelona,Benidorm,Benidorm,87,1,0,Rebound,Left foot,Won
Tuesday 4 November 2008,Champions League,FC Barcelona,FC Basel,FC Basel,62,1,0,,Left foot,Draw
Wednesday 7 November 2007,Champions League,FC Barcelona,Glasgow Rangers,Glasgow Rangers,43,2,0,Rebound,Left foot,Won
Wednesday 19 September 2007,Champions League,FC Barcelona,Olympique Lyon,Olympique Lyon,83,2,0,,Left foot,Won
Wednesday 18 April 2007,,FC Barcelona,Getafe,Getafe,45,3,0,,Left foot,Won
Wednesday 2 November 2005,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,34,3,0,,Left foot,Won
Tuesday 26 June 2018,World Cup,Nigeria,Nigeria,Argentina,14,0,1,Field goal,Right foot,Won
Tuesday 29 May 2018,,Argentina,Haiti,Haiti,66,3,0,Field goal,Left foot,Won
Tuesday 29 May 2018,,Argentina,Haiti,Haiti,58,2,0,Rebound,Right foot,Won
Tuesday 29 May 2018,,Argentina,Haiti,Haiti,17,1,0,Penalty,Left foot,Won
Tuesday 10 October 2017,,Ecuador,Ecuador,Argentina,63,1,3,Field goal,Left foot,Won
Tuesday 10 October 2017,,Ecuador,Ecuador,Argentina,20,1,2,Field goal,Left foot,Won
Tuesday 10 October 2017,,Ecuador,Ecuador,Argentina,12,1,1,Field goal,Left foot,Won
Thursday 23 March 2017,,Argentina,Chile,Chile,16,1,0,Penalty,Left foot,Won
Tuesday 15 November 2016,,Argentina,Colombia,Colombia,10,1,0,Free kick,Left foot,Won
Thursday 1 September 2016,,Argentina,Uruguay,Uruguay,43,1,0,Field goal,Left foot,Won
Tuesday 21 June 2016,Copa America,United States,United States,Argentina,32,0,2,Free kick,Left foot,Won
Saturday 18 June 2016,Copa America,Argentina,Venezuela,Venezuela,60,3,0,Field goal,Left foot,Won
Friday 10 June 2016,Copa America,Argentina,Panama,Panama,87,4,0,Field goal,Left foot,Won
Friday 10 June 2016,Copa America,Argentina,Panama,Panama,78,3,0,Free kick,Left foot,Won
Friday 10 June 2016,Copa America,Argentina,Panama,Panama,68,2,0,Field goal,Left foot,Won
Tuesday 29 March 2016,,Argentina,Bolivia,Bolivia,30,2,0,Penalty,Left foot,Won
Tuesday 8 September 2015,,Argentina,Mexico,Mexico,88,2,2,Field goal,Left foot,Draw
Friday 4 September 2015,,Argentina,Bolivia,Bolivia,74,6,0,Field goal,Left foot,Won
Friday 4 September 2015,,Argentina,Bolivia,Bolivia,66,5,0,Field goal,Head,Won
Saturday 13 June 2015,Copa America,Argentina,Paraguay,Paraguay,35,2,0,Penalty,Left foot,Draw
Wednesday 12 November 2014,,Argentina,Croatia,Croatia,57,2,1,Penalty,Left foot,Won
Tuesday 14 October 2014,,Hong Kong,Hong Kong,Argentina,84,0,7,Solo run,Left foot,Won
Tuesday 14 October 2014,,Hong Kong,Hong Kong,Argentina,66,0,5,,Left foot,Won
Wednesday 25 June 2014,World Cup,Nigeria,Nigeria,Argentina,45+1,1,2,Free kick,Left foot,Won
Wednesday 25 June 2014,World Cup,Nigeria,Nigeria,Argentina,3,0,1,Rebound,Left foot,Won
Saturday 21 June 2014,World Cup,Argentina,Iran,Iran,90+1,1,0,,Left foot,Won
Monday 16 June 2014,World Cup,Argentina,Bosnia-Herzegovina,Bosnia-Herzegovina,65,2,0,Solo run,Left foot,Won
Saturday 7 June 2014,,Argentina,Slovenia,Slovenia,75,2,0,Field goal,Left foot,Won
Wednesday 11 September 2013,,Paraguay,Paraguay,Argentina,52,1,4,Penalty,Left foot,Won
Wednesday 11 September 2013,,Paraguay,Paraguay,Argentina,12,0,1,Penalty,Left foot,Won
Saturday 15 June 2013,,Guatemala,Guatemala,Argentina,49,0,4,Field goal,Left foot,Won
Saturday 15 June 2013,,Guatemala,Guatemala,Argentina,40,0,3,Penalty,Left foot,Won
Saturday 15 June 2013,,Guatemala,Guatemala,Argentina,15,0,1,Field goal,Left foot,Won
Saturday 23 March 2013,,Argentina,Venezuela,Venezuela,44,2,0,Penalty,Left foot,Won
Wednesday 17 October 2012,,Chile,Chile,Argentina,28,0,1,,Left foot,Won
Saturday 13 October 2012,,Argentina,Uruguay,Uruguay,80,3,0,Free kick,Left foot,Won
Saturday 13 October 2012,,Argentina,Uruguay,Uruguay,65,1,0,,Right foot,Won
Saturday 8 September 2012,,Argentina,Paraguay,Paraguay,63,3,1,Free kick,Left foot,Won
Wednesday 15 August 2012,,Germany,Germany,Argentina,52,0,2,,Left foot,Won
Saturday 9 June 2012,,Argentina,Brazil,Brazil,85,4,3,Solo run,Left foot,Won
Saturday 9 June 2012,,Argentina,Brazil,Brazil,35,2,1,,Left foot,Won
Saturday 9 June 2012,,Argentina,Brazil,Brazil,31,1,1,,Left foot,Won
Sunday 3 June 2012,,Argentina,Ecuador,Ecuador,31,3,0,Field goal,Left foot,Won
Wednesday 29 February 2012,,Switzerland,Switzerland,Argentina,90+3,1,3,Penalty,Left foot,Won
Wednesday 29 February 2012,,Switzerland,Switzerland,Argentina,88,1,2,,Left foot,Won
Wednesday 29 February 2012,,Switzerland,Switzerland,Argentina,20,0,1,,Left foot,Won
Tuesday 15 November 2011,,Colombia,Colombia,Argentina,60,1,1,Rebound,Left foot,Won
Saturday 8 October 2011,,Argentina,Chile,Chile,26,2,0,Field goal,Left foot,Won
Monday 20 June 2011,,Argentina,Albania,Albania,42,2,0,Field goal,Left foot,Won
Wednesday 9 February 2011,,Argentina,Portugal,Portugal,90,2,1,Penalty,Left foot,Won
Wednesday 17 November 2010,,Argentina,Brazil,Brazil,90+2,1,0,Solo run,Left foot,Won
Tuesday 7 September 2010,,Argentina,Spain,Spain,10,1,0,Field goal,Left foot,Won
Saturday 14 November 2009,,Spain,Spain,Argentina,61,1,1,Penalty,Left foot,Lost
Saturday 28 March 2009,,Argentina,Venezuela,Venezuela,26,1,0,,Left foot,Won
Wednesday 11 February 2009,,France,France,Argentina,83,0,2,Solo run,Left foot,Won
Saturday 11 October 2008,,Argentina,Uruguay,Uruguay,6,1,0,,Head,Won
Thursday 5 June 2008,,Mexico,Mexico,Argentina,18,0,2,,Left foot,Won
Wednesday 21 November 2007,,Colombia,Colombia,Argentina,36,0,1,Solo run,Left foot,Lost
Wednesday 17 October 2007,,Venezuela,Venezuela,Argentina,43,0,2,,Left foot,Won
Thursday 12 July 2007,Copa America,Mexico,Mexico,Argentina,61,0,2,,Left foot,Won
Monday 9 July 2007,Copa America,Argentina,Peru,Peru,61,2,0,,Left foot,Won
Tuesday 5 June 2007,,Argentina,Algeria,Algeria,73,4,2,,Left foot,Won
Tuesday 5 June 2007,,Argentina,Algeria,Algeria,54,2,2,Penalty,Left foot,Won
Friday 16 June 2006,World Cup,Argentina,Serbia and Montenegro,Serbia and Montenegro,88,6,0,,Right foot,Won
Wednesday 1 March 2006,,Croatia,Croatia,Argentina,6,1,2,,Left foot,Lost
Wednesday 28 November 2018,Champions League,PSV Eindhoven,PSV Eindhoven,FC Barcelona,61,0,1,Field goal,Left foot,Won
Wednesday 3 October 2018,Champions League,Tottenham Hotspur F.C.,Tottenham Hotspur F.C.,FC Barcelona,90,2,4,Field goal,Left foot,Won
Wednesday 3 October 2018,Champions League,Tottenham Hotspur F.C.,Tottenham Hotspur F.C.,FC Barcelona,56,1,3,Field goal,Left foot,Won
Saturday 21 April 2018,,Sevilla,Sevilla,FC Barcelona,31,0,2,Field goal,Left foot,Won
Tuesday 20 February 2018,Champions League,Chelsea,Chelsea,FC Barcelona,75,1,1,Field goal,Left foot,Draw
Wednesday 1 February 2017,,Atlético Madrid,Atlético Madrid,FC Barcelona,33,0,2,Field goal,Left foot,Won
Thursday 5 January 2017,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,52,2,1,Free kick,Left foot,Lost
Wednesday 23 November 2016,Champions League,Celtic,Celtic,FC Barcelona,55,0,2,Penalty,Left foot,Won
Wednesday 23 November 2016,Champions League,Celtic,Celtic,FC Barcelona,24,0,1,Field goal,Left foot,Won
Tuesday 1 November 2016,Champions League,Manchester City,Manchester City,FC Barcelona,21,0,1,Field goal,Left foot,Lost
Tuesday 23 February 2016,Champions League,Arsenal,Arsenal,FC Barcelona,83,0,2,Penalty,Left foot,Won
Tuesday 23 February 2016,Champions League,Arsenal,Arsenal,FC Barcelona,71,0,1,Field goal,Left foot,Won
Sunday 20 December 2015,,CA River Plate,CA River Plate,FC Barcelona,36,0,1,Field goal,Left foot,Won
Wednesday 9 December 2015,Champions League,Bayer Leverkusen,Bayer Leverkusen,FC Barcelona,20,0,1,Field goal,Right foot,Draw
Saturday 30 May 2015,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,74,0,3,,Left foot,Won
Saturday 30 May 2015,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,20,0,1,Solo run,Left foot,Won
Tuesday 25 November 2014,Champions League,APOEL FC,APOEL FC,FC Barcelona,87,0,4,,Right foot,Won
Tuesday 25 November 2014,Champions League,APOEL FC,APOEL FC,FC Barcelona,58,0,3,,Right foot,Won
Tuesday 25 November 2014,Champions League,APOEL FC,APOEL FC,FC Barcelona,38,0,2,,Right foot,Won
Wednesday 5 November 2014,Champions League,Ajax,Ajax,FC Barcelona,76,0,2,,Left foot,Won
Wednesday 5 November 2014,Champions League,Ajax,Ajax,FC Barcelona,36,0,1,,Head,Won
Tuesday 30 September 2014,Champions League,Paris Saint-Germain,Paris Saint-Germain,FC Barcelona,11,1,1,,Left foot,Lost
Tuesday 18 February 2014,Champions League,Manchester City,Manchester City,FC Barcelona,54,0,1,Penalty,Left foot,Won
Wednesday 12 February 2014,,Real Sociedad,Real Sociedad,FC Barcelona,27,0,1,Solo run,Left foot,Draw
Thursday 16 January 2014,,Getafe,Getafe,FC Barcelona,63,0,2,Field goal,Left foot,Won
Thursday 16 January 2014,,Getafe,Getafe,FC Barcelona,44,0,1,Field goal,Hip,Won
Tuesday 22 October 2013,Champions League,AC Milan,AC Milan,FC Barcelona,23,1,1,,Left foot,Draw
Tuesday 2 April 2013,Champions League,Paris Saint-Germain,Paris Saint-Germain,FC Barcelona,38,0,1,,Left foot,Draw
Thursday 24 January 2013,,Málaga,Málaga,FC Barcelona,80,2,4,,Head,Won
Wednesday 12 December 2012,,Córdoba,Córdoba,FC Barcelona,74,0,2,,Left foot,Won
Wednesday 12 December 2012,,Córdoba,Córdoba,FC Barcelona,11,0,1,,Left foot,Won
Tuesday 20 November 2012,Champions League,Spartak Moscow,Spartak Moscow,FC Barcelona,39,0,3,,Left foot,Won
Tuesday 20 November 2012,Champions League,Spartak Moscow,Spartak Moscow,FC Barcelona,27,0,2,Rebound,Right foot,Won
Wednesday 7 November 2012,Champions League,Celtic,Celtic,FC Barcelona,90+1,2,1,Rebound,Left foot,Lost
Wednesday 29 August 2012,,Real Madrid,Real Madrid,FC Barcelona,45,2,1,Free kick,Left foot,Lost
Friday 25 May 2012,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,20,0,2,,Right foot,Won
Tuesday 14 February 2012,Champions League,Bayer Leverkusen,Bayer Leverkusen,FC Barcelona,88,1,3,Field goal,Left foot,Won
Sunday 18 December 2011,,Santos,Santos,FC Barcelona,82,0,4,,Left foot,Won
Sunday 18 December 2011,,Santos,Santos,FC Barcelona,17,0,1,,Left foot,Won
Wednesday 23 November 2011,Champions League,AC Milan,AC Milan,FC Barcelona,31,1,2,Penalty,Left foot,Won
Tuesday 1 November 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,90+2,0,4,,Left foot,Won
Tuesday 1 November 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,45,0,2,,Left foot,Won
Tuesday 1 November 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,24,0,1,Penalty,Left foot,Won
Wednesday 28 September 2011,Champions League,BATE Borisov,BATE Borisov,FC Barcelona,55,0,4,,Left foot,Won
Wednesday 28 September 2011,Champions League,BATE Borisov,BATE Borisov,FC Barcelona,38,0,3,,Head,Won
Sunday 14 August 2011,,Real Madrid,Real Madrid,FC Barcelona,45,1,2,,Left foot,Draw
Wednesday 27 April 2011,Champions League,Real Madrid,Real Madrid,FC Barcelona,87,0,2,Solo run,Right foot,Won
Wednesday 27 April 2011,Champions League,Real Madrid,Real Madrid,FC Barcelona,76,0,1,Field goal,Left foot,Won
Tuesday 12 April 2011,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,43,0,1,,Left foot,Won
Wednesday 19 January 2011,,Real Betis,Real Betis,FC Barcelona,38,2,1,,Left foot,Lost
Wednesday 24 November 2010,Champions League,Panathinaikos,Panathinaikos,FC Barcelona,62,0,2,,Left foot,Won
Tuesday 2 November 2010,Champions League,FC Copenhagen,FC Copenhagen,FC Barcelona,31,0,1,,Right foot,Draw
Saturday 19 December 2009,,Estudiantes La Plata,Estudiantes La Plata,FC Barcelona,110,1,2,,Chest,Won
Wednesday 16 December 2009,,Atlante,Atlante,FC Barcelona,55,1,2,,Left foot,Won
Wednesday 9 December 2009,Champions League,Dynamo Kyiv,Dynamo Kyiv,FC Barcelona,86,1,2,Free kick,Left foot,Won
Wednesday 13 May 2009,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,55,1,2,,Left foot,Won
Wednesday 4 March 2009,,Real Mallorca,Real Mallorca,FC Barcelona,81,1,1,,Left foot,Draw
Tuesday 6 January 2009,,Atlético Madrid,Atlético Madrid,FC Barcelona,80,1,3,,Right foot,Won
Tuesday 6 January 2009,,Atlético Madrid,Atlético Madrid,FC Barcelona,57,0,2,Penalty,Left foot,Won
Tuesday 6 January 2009,,Atlético Madrid,Atlético Madrid,FC Barcelona,13,0,1,,Left foot,Won
Wednesday 26 November 2008,Champions League,Sporting Lisbon,Sporting Lisbon,FC Barcelona,49,0,3,,Left foot,Won
Wednesday 22 October 2008,Champions League,FC Basel,FC Basel,FC Barcelona,4,0,1,,Left foot,Won
Wednesday 1 October 2008,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,90+4,1,2,,Left foot,Won
Wednesday 1 October 2008,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,87,1,1,Rebound,Right foot,Won
Wednesday 20 February 2008,Champions League,Celtic,Celtic,FC Barcelona,79,2,3,,Left foot,Won
Wednesday 20 February 2008,Champions League,Celtic,Celtic,FC Barcelona,18,1,1,,Left foot,Won
Tuesday 27 November 2007,Champions League,Olympique Lyon,Olympique Lyon,FC Barcelona,58,1,2,Penalty,Left foot,Draw
Tuesday 2 October 2007,Champions League,VfB Stuttgart,VfB Stuttgart,FC Barcelona,67,0,2,,Right foot,Won
Wednesday 27 September 2006,Champions League,Werder Bremen,Werder Bremen,FC Barcelona,89,1,1,,Left foot,Draw
Saturday 23 February 2019,Liga,Sevilla,Sevilla,FC Barcelona,85,2,3,Field goal,Left foot,Won
Saturday 23 February 2019,Liga,Sevilla,Sevilla,FC Barcelona,67,2,2,Field goal,Right foot,Won
Saturday 23 February 2019,Liga,Sevilla,Sevilla,FC Barcelona,26,1,1,Field goal,Left foot,Won
Sunday 7 October 2018,Liga,Valencia,Valencia,FC Barcelona,23,1,1,Field goal,Left foot,Draw
Sunday 29 April 2018,Liga,Deportivo La Coruña,Deportivo La Coruña,FC Barcelona,85,2,4,Field goal,Left foot,Won
Sunday 29 April 2018,Liga,Deportivo La Coruña,Deportivo La Coruña,FC Barcelona,82,2,3,Field goal,Right foot,Won
Saturday 31 March 2018,Liga,Sevilla,Sevilla,FC Barcelona,89,2,2,Field goal,Left foot,Draw
Sunday 14 January 2018,Liga,Real Sociedad,Real Sociedad,FC Barcelona,85,2,4,Free kick,Left foot,Won
Sunday 23 April 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,90+2,2,3,Field goal,Left foot,Won
Sunday 23 April 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,33,1,1,Field goal,Left foot,Won
Sunday 26 February 2017,Liga,Atlético Madrid,Atlético Madrid,FC Barcelona,87,1,2,Rebound,Left foot,Won
Sunday 8 January 2017,Liga,Villarreal,Villarreal,FC Barcelona,90,1,1,Free kick,Left foot,Draw
Sunday 27 November 2016,Liga,Real Sociedad,Real Sociedad,FC Barcelona,59,1,1,Field goal,Left foot,Draw
Sunday 6 November 2016,Liga,Sevilla,Sevilla,FC Barcelona,43,1,1,Field goal,Left foot,Won
Saturday 22 October 2016,Liga,Valencia,Valencia,FC Barcelona,90+4,2,3,Penalty,Left foot,Won
Thursday 3 March 2016,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,72,1,4,Field goal,Left foot,Won
Wednesday 17 February 2016,Liga,Sporting Gijón,Sporting Gijón,FC Barcelona,31,1,2,Field goal,Left foot,Won
Saturday 23 January 2016,Liga,Málaga,Málaga,FC Barcelona,51,1,2,Field goal,Left foot,Won
Saturday 12 September 2015,Liga,Atlético Madrid,Atlético Madrid,FC Barcelona,77,1,2,Field goal,Left foot,Won
Saturday 28 February 2015,Liga,Granada,Granada,FC Barcelona,70,1,3,,Right foot,Won
Sunday 27 April 2014,Liga,Villarreal,Villarreal,FC Barcelona,83,2,3,,Right foot,Won
Sunday 23 March 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,84,3,4,Penalty,Left foot,Won
Sunday 23 March 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,65,3,3,Penalty,Left foot,Won
Sunday 23 March 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,42,2,2,,Left foot,Won
